brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
RELA,CARISOPRODOL,NDA012155,SCHERING,TABLET,ORAL,Discontinued
RELAFEN,NABUMETONE,NDA019583,SMITHKLINE BEECHAM,TABLET,ORAL,Discontinued
RELENZA,ZANAMIVIR,NDA021036,GLAXOSMITHKLINE,POWDER,INHALATION,Prescription
RELEUKO,FILGRASTIM-AYOW,BLA761082,KASHIV BIOSCIENCES LLC,SOLUTION,SUBCUTANEOUS,Prescription
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,NDA216117,OSMOTICA PHARM US,"TABLET, EXTENDED RELEASE",ORAL,Prescription
RELGAABI,GABAPENTIN,ANDA204989,SCIEGEN PHARMS,CAPSULE,ORAL,Prescription
RELISTOR,METHYLNALTREXONE BROMIDE,NDA021964,SALIX PHARMS,SOLUTION,SUBCUTANEOUS,Prescription
RELPAX,ELETRIPTAN HYDROBROMIDE,NDA021016,UPJOHN,TABLET,ORAL,Prescription
RELYVRIO,SODIUM PHENYLBUTYRATE; TAURURSODIOL,NDA216660,AMYLYX,FOR SUSPENSION,ORAL,Discontinued
REMERON,MIRTAZAPINE,NDA020415,ORGANON,TABLET,ORAL,Prescription
REMERON SOLTAB,MIRTAZAPINE,NDA021208,ORGANON USA ORGANON,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription
REMICADE,INFLIXIMAB,BLA103772,CENTOCOR INC,VIAL,,Prescription
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,ANDA206223,FRESENIUS KABI USA,INJECTABLE,INJECTION,Prescription
REMODULIN,TREPROSTINIL,NDA021272,UNITED THERAP,INJECTABLE,"INTRAVENOUS, SUBCUTANEOUS",Discontinued
REMSED,PROMETHAZINE HYDROCHLORIDE,ANDA083176,BRISTOL MYERS SQUIBB,TABLET,ORAL,Discontinued
RENACIDIN,CITRIC ACID; GLUCONOLACTONE; MAGNESIUM CARBONATE,NDA019481,UNITED GUARDIAN,SOLUTION,IRRIGATION,Prescription
RENAGEL,SEVELAMER HYDROCHLORIDE,NDA020926,GENZYME,CAPSULE,ORAL,Discontinued
RENAMIN W/O ELECTROLYTES,AMINO ACIDS,NDA017493,BAXTER HLTHCARE,INJECTABLE,INJECTION,Discontinued
RENESE,POLYTHIAZIDE,NDA012845,PFIZER,TABLET,ORAL,Discontinued
RENESE-R,POLYTHIAZIDE; RESERPINE,NDA013636,PFIZER,TABLET,ORAL,Discontinued
RENFLEXIS,INFLIXIMAB-ABDA,BLA761054,SAMSUNG BIOEPIS CO LTD,INJECTABLE,INJECTION,Prescription
RENO-30,DIATRIZOATE MEGLUMINE,NDA010040,BRACCO,SOLUTION,URETERAL,Discontinued
RENO-60,DIATRIZOATE MEGLUMINE,NDA010040,BRACCO,INJECTABLE,INJECTION,Discontinued
RENO-DIP,DIATRIZOATE MEGLUMINE,NDA010040,BRACCO,INJECTABLE,INJECTION,Discontinued
RENOCAL-76,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,ANDA089347,BRACCO,INJECTABLE,INJECTION,Discontinued
RENOGRAFIN-60,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,NDA010040,BRACCO,INJECTABLE,INJECTION,Discontinued
